Intellectual property right :Patent

Indicator :4b- Patent publications by renewable energy

Source: WIPO statistics database. Last updated: November 2025

Office,Office (Code),Origin,Field of technology,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"African Regional Intellectual Property Organization","AP","Brazil","Wind energy technology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","",
"Argentina","AR","Brazil","Wind energy technology","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","1","","","","","1","","","","","",
"Australia","AU","Brazil","Wind energy technology","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","1","1","1","","1","","","","","","","","","",
"Austria","AT","Brazil","Wind energy technology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","",
"Brazil","BR","Brazil","Wind energy technology","4","6","3","5","1","7","3","5","3","3","3","3","2","4","2","5","1","1","3","3","1","6","3","19","10","7","7","10","12","18","15","24","7","22","16","24","10","21","22","15","23","12","11","7","",
"Canada","CA","Brazil","Wind energy technology","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","1","","1","1","","","","","","","","","","",
"Chile","CL","Brazil","Wind energy technology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","",
"China","CN","Brazil","Wind energy technology","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","","3","2","2","2","2","","","1","","","","","","",
"China, Hong Kong SAR","HK","Brazil","Wind energy technology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","",
"Eurasian Patent Organization","EA","Brazil","Wind energy technology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","",
"European Patent Office","EP","Brazil","Wind energy technology","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","2","1","3","3","2","1","1","","1","2","","1","","","",
"Greece","GR","Brazil","Wind energy technology","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IN","Brazil","Wind energy technology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","2","","","","","","1","","",
"Japan","JP","Brazil","Wind energy technology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","1","","","1","","","","","","","1","",
"Mexico","MX","Brazil","Wind energy technology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","",
"Peru","PE","Brazil","Wind energy technology","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","",
"Republic of Korea","KR","Brazil","Wind energy technology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","",
"Russian Federation","RU","Brazil","Wind energy technology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","",
"South Africa","ZA","Brazil","Wind energy technology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","",
"Tunisia","TN","Brazil","Wind energy technology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","",
"United States of America","US","Brazil","Wind energy technology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","3","","3","","2","3","1","1","","4","3","","1","3","","",
"Uruguay","UY","Brazil","Wind energy technology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","1","","","","","","",
