Intellectual property right :Patent

Indicator :4b- Patent publications by renewable energy

Source: WIPO statistics database. Last updated: November 2025

Office,Office (Code),Origin,Field of technology,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Brazil","BR","Unknown","Wind energy technology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","1","4","","2","1","","","1","1","","","1","",
"Brazil","BR","United Arab Emirates","Wind energy technology","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",
"Brazil","BR","Argentina","Wind energy technology","1","","","","","1","","","","","","","","","","","","","","","","2","","","","","","2","","","","","1","","","1","","1","","1","","","","","",
"Brazil","BR","Austria","Wind energy technology","1","","","","","","","","","","","","","","","1","","","","","","","","","1","","","","1","","1","","","","1","3","8","1","","1","1","6","","","",
"Brazil","BR","Australia","Wind energy technology","","","","","","","","","","","","","","","","","","","","1","","","","","","1","1","","2","","","","","","","1","","","","1","","","","","",
"Brazil","BR","Belgium","Wind energy technology","","","","1","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","",
"Brazil","BR","Bulgaria","Wind energy technology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","",
"Brazil","BR","Brazil","Wind energy technology","4","6","3","5","1","7","3","5","3","3","3","3","2","4","2","5","1","1","3","3","1","6","3","19","10","7","7","10","12","18","15","24","7","22","16","24","10","21","22","15","23","12","11","7","",
"Brazil","BR","Canada","Wind energy technology","","","","","1","","","","","","","","","","","1","","","","","","","","1","","1","","1","","1","","","","3","","2","1","","4","","","3","","","",
"Brazil","BR","Switzerland","Wind energy technology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","4","1","1","","4","1","1","",
"Brazil","BR","China","Wind energy technology","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","1","","","1","2","4","1","2","4","2","1","3","1","2","18","7","",
"Brazil","BR","Colombia","Wind energy technology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","",
"Brazil","BR","Germany","Wind energy technology","1","","","","2","","","","","1","","","","","1","","","","","1","5","5","11","13","35","15","15","9","8","3","1","4","13","16","12","25","40","84","50","52","38","4","8","5","",
"Brazil","BR","Denmark","Wind energy technology","","","","","","","","","","","","","","","","","","","","","","1","1","","","2","2","1","1","5","","11","8","8","1","6","8","29","17","11","15","14","21","10","",
"Brazil","BR","Ecuador","Wind energy technology","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","1","","","","","","","",
"Brazil","BR","Estonia","Wind energy technology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","",
"Brazil","BR","Spain","Wind energy technology","1","","2","","","","","","","","","","","","","","","","","","","","1","1","1","1","","1","1","","1","3","","4","3","18","28","26","14","12","9","7","18","2","",
"Brazil","BR","Finland","Wind energy technology","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","3","","1","","","1","","","","",
"Brazil","BR","France","Wind energy technology","","","2","1","","1","","","","","","","","","","","","","","","","","","","","","","","2","","","","2","","1","1","3","9","1","2","2","1","1","","",
"Brazil","BR","United Kingdom","Wind energy technology","2","","2","1","","","","","","","","","","","","","","","","","1","","","","","","","2","1","","","1","","","","8","13","11","1","2","6","4","4","2","",
"Brazil","BR","Hungary","Wind energy technology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","",
"Brazil","BR","Ireland","Wind energy technology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","",
"Brazil","BR","Israel","Wind energy technology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","1","","",
"Brazil","BR","India","Wind energy technology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","1","",
"Brazil","BR","Italy","Wind energy technology","","","","","","","","","","2","","","","","","","","","","1","","","","1","","","","","","","","3","1","1","2","1","3","10","3","","","2","","2","",
"Brazil","BR","Japan","Wind energy technology","","","","","","2","","","","","","","","","","","","","","","1","1","","","2","","","1","","","","","3","3","6","23","31","6","15","2","1","","1","","",
"Brazil","BR","Republic of Korea","Wind energy technology","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","1","","","","2","2","4","","2","","","","","",
"Brazil","BR","Sri Lanka","Wind energy technology","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brazil","BR","Luxembourg","Wind energy technology","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","3","1","","3","1","1","2","2","","","",
"Brazil","BR","Latvia","Wind energy technology","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","",
"Brazil","BR","Mexico","Wind energy technology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","",
"Brazil","BR","Netherlands (Kingdom of the)","Wind energy technology","","","","","","","","","","","","","","","","","","","","","","","","","2","1","","1","","","","2","1","","2","4","5","4","6","","3","3","2","","",
"Brazil","BR","Norway","Wind energy technology","","","","","","","","","","","","","","","","","1","","","","","1","","","","","","","","","","1","1","2","1","5","4","3","","2","","2","4","2","",
"Brazil","BR","Peru","Wind energy technology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","",
"Brazil","BR","Philippines","Wind energy technology","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",
"Brazil","BR","Poland","Wind energy technology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","",
"Brazil","BR","Portugal","Wind energy technology","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","",
"Brazil","BR","Russian Federation","Wind energy technology","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","1","2","","3","","","1","",
"Brazil","BR","Saudi Arabia","Wind energy technology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","",
"Brazil","BR","Seychelles","Wind energy technology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","",
"Brazil","BR","Sweden","Wind energy technology","","","1","2","1","","","","","","","","","","","","","","","","1","1","2","","","","","","","","","1","","","5","2","3","2","2","","1","1","1","","",
"Brazil","BR","Singapore","Wind energy technology","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","1","","","","3","","",
"Brazil","BR","Tunisia","Wind energy technology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","",
"Brazil","BR","Ukraine","Wind energy technology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","",
"Brazil","BR","United States of America","Wind energy technology","5","7","4","4","4","1","","2","1","","1","","","","","","","1","","1","1","","3","","6","6","7","13","3","3","4","3","2","11","15","33","56","34","20","17","17","36","10","4","",
"Brazil","BR","Viet Nam","Wind energy technology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","",
